Station ID,Name,latitude,longitude,Bikes,Total bike slots
b85e28c21e5f79e0eeedb25b01bd7023,"003467 - Dock Street, Wapping",51.5097860151,-0.0681619805156,2,27
4d46d714086250894e7fc4d2ededd7b5,"001090 - Warren Street Station, Euston",51.52443845,-0.138019439,9,16
56786fa54c6f0d4be50f39668da7119d,"003482 - Beaumont Street, Marylebone",51.52200801,-0.151359288,12,11
cdfe1eefce180c10fee9fd7dabeef715,"001145 - Earnshaw Street , Covent Garden",51.51611887,-0.128585022,9,7
2293635ff034ae614ff2679f273e6972,"001140 - Grosvenor Road, Pimlico",51.4853572,-0.142207481,11,16
c68f812c22596a520fa7cd2fee575e8d,"001159 - Berry Street, Clerkenwell",51.52285301,-0.099994052,4,35
e4b16b74ee97108fd8e5fd9cebbcd480,"001161 - Brushfield Street, Liverpool Street",51.518908,-0.079249,12,20
b5492904b8e688d168315f1f272e6bd0,"001051 - Shoreditch Park, Hoxton",51.53404294,-0.086379717,7,22
bba639efc6aa2bfb2fa3c9762ce92600,"003471 - Chadwell Street, Angel",51.53051587,-0.106408455,0,18
e14fe63baf41df4b9f0b96bee6895267,"003484 - Houghton Street, Strand",51.51362054,-0.116764211,6,9
4a4e7d4e529dab07f129b7ee61ea8a9f,"003491 - Princes Square, Bayswater",51.5134891,-0.191351186,1,15
cd6c181cd00ff28ffd8456e2e2b896ba,"001146 - Tysoe Street, Clerkenwell",51.52644342,-0.109256828,3,17
6a07ad979e0dfd00f4efa37de319c679,"003490 - Southwick Street, Paddington",51.51595344,-0.169249375,0,17
0fff4a36bcc719131b5b5f1452148c1a,"001155 - Regency Street, Westminster",51.49206037,-0.132224622,1,21
021c9ca075163dcca7edbe920bf0d586,"001209 - Empire Square, The Borough",51.50082346,-0.089740764,19,26
056303b9788eab5234cff4abb1bdeff9,"001190 - Kennington Lane Rail Bridge, Vauxhall",51.4863434,-0.122492418,22,8
4fea1b4bf76fd7849d6bce8682a8a0d4,"001136 - London Zoo,  The Regent's Park",51.53583617,-0.156285395,32,0
60428640cbb2e1d4986a8fd9f8f440ac,"001133 - Baylis Road, Waterloo",51.50144456,-0.110699309,3,19
cd3e444571fd09b673c092f8e3bfbb52,"001134 - Warwick Road, Olympia",51.49671237,-0.20528437,2,32
e346609eea29b41f4399239c102a38aa,"001108 - North Wharf Road, Paddington",51.51862243,-0.176645823,0,24
ffb92bc589f72ac1783e5696b0714e01,"003462 - Royal Avenue 2, Chelsea",51.490083,-0.162418,8,1
e009f8e00b6b4d799332ba17e7571c7d,"001141 - Kingsway, Covent Garden",51.51440928,-0.118478757,4,12
dffa4521a68058f10574f66997d074d1,"001117 - Lambeth North Station, Waterloo",51.49914063,-0.112031483,19,1
362c216ecec8c67cb68c7c67a8ceb26e,"001156 - Bedford Way, Bloomsbury",51.52367314,-0.128377673,1,22
282e3f242d2799ecfd97d0e50197ecb9,"001138 - Elizabeth Bridge, Victoria",51.49236962,-0.147478734,33,1
dfd18ac5219ce5af07ec776558277ed0,"003496 - St Mary's Hospital, Paddington",51.518268,-0.17110323,12,8
62bc2304298cd9c782d8668fce5510d0,"001135 - Claverton Street, Pimlico",51.48483991,-0.138089062,0,30
2b5f1abbbff8e176025b26fae6f0b9ed,"001214 - Kensington Olympia Station, Olympia",51.49815779,-0.209494128,1,24
b2f81c1785600d02194d55a8bbe7ba88,"001216 - Swan Street, The Borough",51.50029631,-0.092762704,15,9
d042ccbaa7670a7032c4691d111e3afa,"003498 - Geraldine Street, Elephant & Castle",51.49612799,-0.106000855,7,10
069a306e841aed284a84444048b364f2,"001152 - Marylebone Lane, Marylebone",51.51475963,-0.148105415,9,15
e48ca76cc8c32733296354cb32cdfe34,"003492 - Putney Pier, Wandsworth",51.466907,-0.216573,16,10
8ba0194daeb0ac4b294433cbe7d860a3,"001157 - Black Lion Gate, Kensington Gardens",51.50990837,-0.187842717,5,18
e51dfccac7bfccebc14b422e6d20103e,"003494 - Foley Street, Fitzrovia",51.51918144,-0.140485596,10,13
5165a060dd8f374c43c8b90202e34020,"001130 - Grove End Road, St. John's Wood",51.53088935,-0.176770502,0,19
5e994c58439cd4e02d7426eab22467d8,"003495 - Wells Street, Fitzrovia",51.51734403,-0.138072691,16,20
d44450634cab6bc0308883311ae165ea,"003485 - Tyers Gate, Bermondsey",51.50088934,-0.083159352,30,5
2f86532efc540bb6ac562b048690f15d,"000968 - Warwick Row, Westminster",51.497998,-0.14296064,19,1
db5f489cd151eb1dde78ab05e0cf806a,"003500 - Baldwin Street, St. Luke's",51.52702563,-0.088542771,2,19
6247c35c551e946ba9431f8a5c09bc6f,"002637 - Bermondsey Street, Bermondsey",51.49785559,-0.081608045,9,15
9559bd41bdd0b32ec6dfe2de4d10b425,"003502 - Palissy Street, Shoreditch",51.526293,-0.073955,18,8
2d3a46775fd3177343d04ab2ddb36d31,"001131 - Graham Street, Angel",51.53266186,-0.099981142,0,26
0fce6ee73e33ca39c6e551b9347a33ad,"002641 - New North Road 2, Hoxton",51.53114,-0.086016,10,12
6a909175d0c128dedd6690508f47fceb,"002636 - Prince Albert Road, The Regent's Park",51.53589283,-0.160854428,1,23
17f03df378612d2d000989d143fd4cb3,"001211 - Bunhill Row, Moorgate",51.52085887,-0.089887855,17,13
7869387b7f03aea7253facf45a28c46a,"001210 - Nevern Place, Earl's Court",51.49334336,-0.194757949,12,8
c22e168276f2e869a2e4c0f19be3c3bd,"002633 - Palace Gardens Terrace, Notting Hill",51.50860544,-0.193764092,14,23
6344f46f873280d0f644c5c6e08f7b23,"001127 - Risinghill Street, Angel",51.5333196,-0.1117812,0,25
c09593793e317790e76f8ed39696c485,"001222 - Goswell Road (City Uni), Finsbury",51.528246,-0.10102611,1,13
23a69ac4ef6a7307d45f5a6f56eacdb3,"001218 - Flood Street, Chelsea",51.48802358,-0.166878535,13,19
685ec7e15de302e7e5b48cf569300276,"001226 - Macclesfield Rd, St Lukes",51.529423,-0.097122,10,18
b206d6f7fcd68bfd9c5bc5d44e8cc9e9,"001224 - Vauxhall Street, Vauxhall",51.486965,-0.116625,13,5
a2bda91285c4211ec318b84e3093ea70,"001229 - High Holborn , Covent Garden",51.516226,-0.124826,13,6
ff29665797070bd57a6f6fab26ea5f1f,"002680 - Harrowby Street, Marylebone",51.5173721,-0.1642075,0,16
1ef34aa90f6cb964a929a6ce99413e60,"002681 - Harriet Street, Knightsbridge",51.50024195,-0.15934065,8,17
392ea98fd6b699f24a565c640ab7278d,"002670 - Paddington Green, Paddington",51.520205,-0.174593,12,7
5e8fa1295724fc52ac1b607c742f5ca8,"002639 - King Edward Walk, Waterloo",51.49775,-0.10988,17,5
d8c7f5fc1ef650ef9609a03113f42d44,"002649 - Sardinia Street, Holborn",51.515208,-0.117863,6,18
4f85079dd0dcd2d273f345f240fc95f5,"002683 - Millbank Tower, Pimlico",51.49188409,-0.125674815,6,17
dbb810088675fbd1e9fb791148c0675c,"002678 - Farm Street, Mayfair",51.50935171,-0.14744969,10,5
d86287521da384a2de8efb32dfc81ae7,"001223 - Buxton Street 1, Shoreditch",51.521776,-0.068856,21,20
d2f24b0789a5bdeca881d2fd9cd4f5fd,"001227 - Devonshire Terrace, Bayswater",51.51348,-0.17977,0,15
48c62bda2793ce5deac0a94be8e51838,"001129 - Sun Street, Liverpool Street",51.520009,-0.083935724,19,4
484160f9061218d6e62a64342a93f8b6,"010624 - Strata, Elephant & Castle",51.493146,-0.099828,30,10
3ac0f53e7d63fd7e6021b88a78be5f36,"022179 - Exhibition Road, Knightsbridge",51.499917,-0.174554,9,10
671b57a2aab1e479e99ac532980ed2ef,"200056 - Vauxhall Walk, Vauxhall",51.488124,-0.120903,26,1
ca223882f068af0108340b1129004400,"200053 - Killick Street, King's Cross",51.5338,-0.118677,0,22
3e9342f574d2256a1e9482fbd14f84bf,"200032 - Kennington Oval, Oval",51.483145,-0.113134,27,5
735f87c6a19b1c9f4a7223d5e226b2c6,"200039 - Sail Street, Vauxhall",51.495656,-0.114605,16,7
cf4ca508a267b39144c43767b17eb289,"200035 - Walmer Road, Avondale",51.510101,-0.211358,5,19
a6af68f6a64046c74531f4f7655eb209,"200033 - Philpot Street, Whitechapel",51.515256,-0.058641,5,24
eb5ff084d999d5a3e9e541fc821123fd,"200047 - Bethnal Green Garden, Bethnal Green",51.52568,-0.055312,12,12
4ab25e79ef8c9921df430c66cef66e42,"200042 - York Hall, Bethnal Green",51.528936,-0.055894,4,22
52c242bf59e02288c985568d958fa5ef,"200054 - Jubilee Crescent, Cubitt Town",51.493381,-0.007542,10,43
a39712a7eba5ca2a0efb17f94b2178f1,"200020 - Shadwell Station, Shadwell",51.511088,-0.057159,21,14
7240d3c05408687dddf5ea08c19d15de,"200021 - Hermitage Court, Wapping",51.504719,-0.063531,6,10
