Station Name,Latitude,Longitude,Name,Categories,Distance,Address,City,Rating,Empty slots
Cannon at Ottawa,43.2475653052787,-79.8180502653122,,,,,,,6.0
,43.24768,-79.817882,,"Café, Coffee Shop, Restaurant",27.0,179 Ottawa St N,,,
,43.240773,-79.812412,,"Bar, Restaurant",890.0,1342 Main St E,,,
,43.25066,-79.810363,,Pizzeria,713.0,1219 Barton St E,,,
,43.24461,-79.819267,,"Cafe, Coffee, and Tea House, Restaurant",340.0,65 Ottawa St N,,,
,43.244302,-79.807952,,"Cafe, Coffee, and Tea House, Restaurant",896.0,136 Kenilworth Ave N,,,
,43.247646,-79.828538,,Pizzeria,859.0,1150 King St E,,,
,43.250591,-79.807616,,Food Court,904.0,1275 Barton St E,,,
,43.250069,-79.811516,,Restaurant,607.0,1200 Barton St E,,,
,43.250574,-79.807607,,"Deli, Fast Food Restaurant",912.0,1275 Barton St E,,,
,43.241636,-79.815013,,"Pizzeria, Fast Food Restaurant",714.0,1281 Main St E,,,
,43.252714,-79.822252,,Restaurant,667.0,954 Barton St E,,,
,43.253085,-79.823241,,"Diner, Seafood Restaurant",752.0,946 Barton St E,,,
,43.244575,-79.825565,,"Burger Joint, Fast Food Restaurant",693.0,1268 King St E,,,
,43.247797,-79.817809,,"Bar, Restaurant",34.0,189 Ottawa St N,,,
,43.247491,-79.816692,,"Café, Coffee Shop, Restaurant",53.0,1229 Cannon St E,,,
,43.248025,-79.817755,,"Fast Food Restaurant, Poke Restaurant",56.0,193 Ottawa St N,,,
,43.248575,-79.817152,,"Deli, Restaurant",107.0,218 Ottawa St N,,,
,43.248751,-79.817042,,Burger Joint,138.0,224 Ottawa St N,,,
,43.245871,-79.818135,,"Diner, Fast Food Restaurant, Sandwich Spot",170.0,122 Ottawa St N,,,
,43.248628,-79.821565,,"Taco Restaurant, Beer Store",297.0,1101 Cannon St E,,,
,43.25008,-79.816478,,Chinese Restaurant,307.0,282 Ottawa St N,,,
,43.250139,-79.816441,,"Coffee Shop, Vegan and Vegetarian Restaurant",313.0,292 Ottawa St N,,,
,43.244659,-79.818626,,"Fish and Chips Shop, Seafood Restaurant",334.0,80 Ottawa St N,,,
,43.250725,-79.813897,,"Bar, Restaurant",485.0,1142 Barton St E,,,
,43.25066,-79.814025,,Pizzeria,520.0,1142 Barton St E,,,
,43.251661,-79.81628,,"Bistro, French Restaurant",535.0,1085 Barton St E,,,
,43.242691,-79.819501,,Italian Restaurant,558.0,4 Ottawa St N,,,
,43.243199,-79.821625,,Breakfast Spot,575.0,1145 Main St E,,,
,43.243721,-79.823567,,"Pool Hall, Sports Bar",634.0,King St E,,,
,43.241921,-79.816405,,Chinese Restaurant,640.0,1247 Main St E,,,
,43.241733,-79.815215,,Poutine Restaurant,704.0,1279 Main St E,,,
,43.24159,-79.822189,,"Cafe, Coffee, and Tea House, Italian Restaurant",734.0,1375 King St E,,,
,43.253288,-79.812566,,Sushi Restaurant,770.0,1161 Barton St E,,,
,43.253109,-79.823662,,Lounge,776.0,935 Barton St E,,,
,43.245058,-79.807569,,Pizzeria,832.0,158 Kenilworth Ave N,,,
,43.245587,-79.80724,,Fish and Chips Shop,892.0,180 Kenilworth Ave N,,,
,43.250687,-79.807818,,Chinese Restaurant,893.0,1275 Barton St E,,,
,43.248072,-79.806916,,"Lounge, Fast Food Restaurant",914.0,253 Kenilworth Ave N,,,
,43.248459,-79.829602,,Restaurant,920.0,1127 King St E,,,
,43.248307,-79.80677,,Pizzeria,945.0,263 Kenilworth Ave N,,,
,43.24857,-79.806257,,Italian Restaurant,953.0,272 Kenilworth Ave N,,,
,43.249063,-79.806387,,Sandwich Spot,984.0,1324 Barton St E,,,
,43.250299,-79.806316,,"Mediterranean Restaurant, Shawarma Restaurant",994.0,1317 Barton St E,,,
,43.250351,-79.806371,,"Sandwich Spot, Fast Food Restaurant",1006.0,1317 Barton St E,,,
,43.247739,-79.817846,,Pizzeria,25.0,181 Ottawa St N,,,
,43.246468,-79.818374,,Restaurant,124.0,137 Ottawa St N,,,
,43.243401,-79.822633,,"Bar, Café",593.0,1123 Main St E,,,
,43.246043,-79.826832,,Restaurant,730.0,1218 King St E,,,
,43.241291,-79.81514,,"Cafe, Coffee, and Tea House, Restaurant",735.0,1280 Main St E,,,
,43.241479,-79.814152,,"Bar, Restaurant",746.0,1305 Main St E,,,
,43.24838,-79.81775,Hambrgr Ottawa Street,"Burgers, American",93.40378252150578,"207 Ottawa Street N, Hamilton, ON L8H 3Z4, Canada",Hamilton,4.0,
,43.2474063,-79.8175491,Cannon Coffee,"Coffee & Tea, Breakfast & Brunch",44.27504151998711,"180 Ottawa Street N, Hamilton, ON L8H 3Z3, Canada",Hamilton,4.5,
,43.24788,-79.81788,MERK,Tapas Bars,40.06724604719998,"189 Ottawa St N, Hamilton, ON L8H 3Z4, Canada",Hamilton,4.5,
,43.242741,-79.819429,Caro Restaurant and Bar,"Italian, Bars",547.9383913615624,"4 Ottawa Street N, Hamilton, ON L8H 3Y7, Canada",Hamilton,4.5,
,43.2475,-79.81656,Mancala Monk Board Game Cafe,"Cafes, Coffee & Tea, Hobby Shops",113.29598239416045,"1229 Cannon Street E, Hamilton, ON L8H 1T8, Canada",Hamilton,5.0,
,43.2485677,-79.8215868,Shorty's Pizza,Pizza,310.0435358643042,"1099 Cannon Street E, Hamilton, ON L8L 2J6, Canada",Hamilton,4.0,
,43.24584,-79.81808,Mike's Subs,Sandwiches,188.71617777743373,"122 Ottawa Street N, Hamilton, ON L8H 3Z1, Canada",Hamilton,4.0,
,43.2530719,-79.8232905,Purple Pear,"Seafood, Steakhouses",745.0106674818638,"946 Barton Street E, Hamilton, ON L8E 5H3, Canada",Hamilton,4.5,
,43.24474,-79.81852,Hammerhead's On Ottawa,Fish & Chips,316.0413710413299,"80 Ottawa Street N, Hamilton, ON L8H 3Z1, Canada",Hamilton,4.5,
,43.246309,-79.818385,Boardwalk Cheesesteaks,"Cheesesteaks, Sandwiches",143.42202088646593,"131 Ottawa Street North, Hamilton, ON L8L 1Y5, Canada",Hamilton,4.5,
,43.248745,-79.816929,Cafe Limoncello,Italian,159.54475114677547,"226 Ottawa St N, Hamilton, ON L8H 3Z6, Canada",Hamilton,2.5,
,43.24172,-79.82224,Cafe Baffico,Cafes,733.3641732135558,"1375 King Street E, Hamilton, ON L8M 1H6, Canada",Hamilton,4.5,
,43.2502413562309,-79.8164660856128,The Hearty Hooligan,"Cafes, Bakeries",324.0467984342939,"292 Ottawa Street N, Hamilton, ON L8H 3Z9, Canada",Hamilton,4.5,
,43.24632,-79.81782,Power Pizza,"Pizza, Chicken Wings, Salad",138.20016449720094,"134 Ottawa Street N, Unit 4 & 5, Hamilton, ON L8H 3Z3, Canada",Hamilton,3.0,
,43.248686,-79.817039,Mr Beast Burger,"Burgers, Fast Food",149.39272003658067,"224 Ottawa Street N, Hamilton, ON L8H 3Z6, Canada",Hamilton,4.0,
,43.24857,-79.8213948,Bernie’s Tavern,"Modern European, Beer Bar",293.01858219789494,"1101-1103 Cannon St E, Hamilton, ON L8L 2J5, Canada",Hamilton,3.5,
,43.24803,-79.81718,Ottawa Market,"Florists, Cafes, Grocery",85.064819172007,"204 Ottawa St N, Hamilton, ON L8H 3Z5, Canada",Hamilton,5.0,
,43.2462118,-79.8184547,Das Schnitzel,"Soup, Burgers, Sandwiches",143.37669678581426,"131 Ottawa Street N, Hamilton, ON L8L 1Y5, Canada",Hamilton,5.0,
,43.24506,-79.82929,Gage Park Diner,"Diners, Breakfast & Brunch, American",951.8399882146276,"975 Main Street E, Hamilton, ON L8M 1N2, Canada",Hamilton,4.0,
,43.2456701661846,-79.80732511729,Food Box,"Burgers, Fish & Chips, Salad",893.8838123831741,"180 Kenilworth Avenue N, Hamilton, ON L8H 4S1, Canada",Hamilton,4.0,
,43.250742261944495,-79.8168618391281,Crown & Press,"Art Galleries, Cafes",366.1394150204216,"303 Ottawa Street N, Hamilton, ON L8H 3Z8, Canada",Hamilton,5.0,
,43.2498630823942,-79.8074481636286,Sunset Grill,"Breakfast & Brunch, Diners, Canadian (New)",895.8992598831026,"1299 Barton St E, Hamilton, ON L8H 2W1, Canada",Hamilton,3.5,
,43.24463276888966,-79.81867474,JoyInn Restaurant,"Chinese, Seafood, Soup",329.9823398030906,"74 Ottawa Street N, Hamilton, ON L8H 3Z1, Canada",Hamilton,2.5,
