Station Name,Latitude,Longitude,Name,Categories,Distance,Address,City,Rating,Empty slots
King William at James,43.25763541749527,-79.86848652,,,,,,,2
Westdale Aviary,43.26486897083389,-79.90748048,,,,,,,0
Hunter GO Centre,43.25332997554428,-79.86953259,,,,,,,11
Westdale Village,43.26201477888108,-79.90508795,,,,,,,6
Cannon at Ottawa,43.24756531,-79.81805027,,,,,,,6
,43.24768,-79.817882,,"Café, Coffee Shop, Restaurant",27,179 Ottawa St N,,,7.00
,43.240773,-79.812412,,"Bar, Restaurant",890,1342 Main St E,,,7.00
,43.25066,-79.810363,,Pizzeria,713,1219 Barton St E,,,7.00
,43.24461,-79.819267,,"Cafe, Coffee, and Tea House, Restaurant",340,65 Ottawa St N,,,7.00
,43.244302,-79.807952,,"Cafe, Coffee, and Tea House, Restaurant",896,136 Kenilworth Ave N,,,7.00
,43.247646,-79.828538,,Pizzeria,859,1150 King St E,,,7.00
,43.250591,-79.807616,,Food Court,904,1275 Barton St E,,,7.00
,43.250069,-79.811516,,Restaurant,607,1200 Barton St E,,,7.00
,43.250574,-79.807607,,"Deli, Fast Food Restaurant",912,1275 Barton St E,,,7.00
,43.241636,-79.815013,,"Pizzeria, Fast Food Restaurant",714,1281 Main St E,,,7.00
,43.252714,-79.822252,,Restaurant,667,954 Barton St E,,,7.00
,43.253085,-79.823241,,"Diner, Seafood Restaurant",752,946 Barton St E,,,7.00
,43.244575,-79.825565,,"Burger Joint, Fast Food Restaurant",693,1268 King St E,,,7.00
,43.247797,-79.817809,,"Bar, Restaurant",34,189 Ottawa St N,,,7.00
,43.247491,-79.816692,,"Café, Coffee Shop, Restaurant",53,1229 Cannon St E,,,7.00
,43.248025,-79.817755,,"Fast Food Restaurant, Poke Restaurant",56,193 Ottawa St N,,,7.00
,43.248575,-79.817152,,"Deli, Restaurant",107,218 Ottawa St N,,,7.00
,43.248751,-79.817042,,Burger Joint,138,224 Ottawa St N,,,7.00
,43.245871,-79.818135,,"Diner, Fast Food Restaurant, Sandwich Spot",170,122 Ottawa St N,,,7.00
,43.248628,-79.821565,,"Taco Restaurant, Beer Store",297,1101 Cannon St E,,,7.00
,43.25008,-79.816478,,Chinese Restaurant,307,282 Ottawa St N,,,7.00
,43.250139,-79.816441,,"Coffee Shop, Vegan and Vegetarian Restaurant",313,292 Ottawa St N,,,7.00
,43.244659,-79.818626,,"Fish and Chips Shop, Seafood Restaurant",334,80 Ottawa St N,,,7.00
,43.250725,-79.813897,,"Bar, Restaurant",485,1142 Barton St E,,,7.00
,43.25066,-79.814025,,Pizzeria,520,1142 Barton St E,,,7.00
,43.251661,-79.81628,,"Bistro, French Restaurant",535,1085 Barton St E,,,7.00
,43.242691,-79.819501,,Italian Restaurant,558,4 Ottawa St N,,,7.00
,43.243199,-79.821625,,Breakfast Spot,575,1145 Main St E,,,7.00
,43.243721,-79.823567,,"Pool Hall, Sports Bar",634,King St E,,,7.00
,43.241921,-79.816405,,Chinese Restaurant,640,1247 Main St E,,,7.00
,43.241733,-79.815215,,Poutine Restaurant,704,1279 Main St E,,,7.00
,43.24159,-79.822189,,"Cafe, Coffee, and Tea House, Italian Restaurant",734,1375 King St E,,,7.00
,43.253288,-79.812566,,Sushi Restaurant,770,1161 Barton St E,,,7.00
,43.253109,-79.823662,,Lounge,776,935 Barton St E,,,7.00
,43.245058,-79.807569,,Pizzeria,832,158 Kenilworth Ave N,,,7.00
,43.245587,-79.80724,,Fish and Chips Shop,892,180 Kenilworth Ave N,,,7.00
,43.250687,-79.807818,,Chinese Restaurant,893,1275 Barton St E,,,7.00
,43.248072,-79.806916,,"Lounge, Fast Food Restaurant",914,253 Kenilworth Ave N,,,7.00
,43.248459,-79.829602,,Restaurant,920,1127 King St E,,,7.00
,43.248307,-79.80677,,Pizzeria,945,263 Kenilworth Ave N,,,7.00
,43.24857,-79.806257,,Italian Restaurant,953,272 Kenilworth Ave N,,,7.00
,43.249063,-79.806387,,Sandwich Spot,984,1324 Barton St E,,,7.00
,43.250299,-79.806316,,"Mediterranean Restaurant, Shawarma Restaurant",994,1317 Barton St E,,,7.00
,43.250351,-79.806371,,"Sandwich Spot, Fast Food Restaurant",1006,1317 Barton St E,,,7.00
,43.247739,-79.817846,,Pizzeria,25,181 Ottawa St N,,,7.00
,43.246468,-79.818374,,Restaurant,124,137 Ottawa St N,,,7.00
,43.243401,-79.822633,,"Bar, Café",593,1123 Main St E,,,7.00
,43.246043,-79.826832,,Restaurant,730,1218 King St E,,,7.00
,43.241291,-79.81514,,"Cafe, Coffee, and Tea House, Restaurant",735,1280 Main St E,,,7.00
,43.241479,-79.814152,,"Bar, Restaurant",746,1305 Main St E,,,7.00
,43.24838,-79.81775,Hambrgr Ottawa Street,"Burgers, American",93.40378252150578,"207 Ottawa Street N, Hamilton, ON L8H 3Z4, Canada",Hamilton,4,7.00
,43.2474063,-79.8175491,Cannon Coffee,"Coffee & Tea, Breakfast & Brunch",44.27504151998711,"180 Ottawa Street N, Hamilton, ON L8H 3Z3, Canada",Hamilton,4.5,7.00
,43.24788,-79.81788,MERK,Tapas Bars,40.06724604719998,"189 Ottawa St N, Hamilton, ON L8H 3Z4, Canada",Hamilton,4.5,7.00
,43.242741,-79.819429,Caro Restaurant and Bar,"Italian, Bars",547.9383913615624,"4 Ottawa Street N, Hamilton, ON L8H 3Y7, Canada",Hamilton,4.5,7.00
,43.2475,-79.81656,Mancala Monk Board Game Cafe,"Cafes, Coffee & Tea, Hobby Shops",113.29598239416045,"1229 Cannon Street E, Hamilton, ON L8H 1T8, Canada",Hamilton,5,7.00
